Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080310,"Fruit, edible; plantains, fresh or dried",8,Weight in kilograms,1743,,,,1743,,3123,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,566,Nigeria,NGA,,,,,,,,080310,"Fruit, edible; plantains, fresh or dried",8,Weight in kilograms,1743,,,,1743,,3123,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,21409486,,,,21409486,,28880533,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,12,Algeria,DZA,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,5704414,,,,5704414,,8127630,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,303310,,,,303310,,70103,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,14452,,,,14452,,20238,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,275,State of Palestine,PSE,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,48889,,,,48889,,127565,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,9421678,,,,9421678,,9666709,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,368,Iraq,IRQ,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,4021,,,,4021,,6112,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,1535022,,,,1535022,,2458143,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,39000,,,,39000,,10530,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,504,Morocco,MAR,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,447,,,,447,,5724,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,586,Pakistan,PAK,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,17100,,,,17100,,21167,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,682,Saudi Arabia,SAU,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,174839,,,,174839,,396537,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,710,South Africa,ZAF,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,97360,,,,97360,,147069,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,729,Sudan,SDN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,27,,,,27,,66,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,757,Switzerland,CHE,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,168,,,,168,,1540,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,784,United Arab Emirates,ARE,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,55936,,,,55936,,110628,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,788,Tunisia,TUN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,3916317,,,,3916317,,7595114,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,7000,,,,7000,,15884,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,818,Egypt,EGY,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,69500,,,,69500,,99770,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,4279855,,,,4279855,,7720206,,,6
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,1480,,,,1480,,4516,,,0
