Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,685895,,,,685895,,1017587,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,119,,,,119,,111,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,210,,,,210,,155,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,300,Greece,GRC,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,171,,,,171,,110,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,12,,,,12,,15,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,52,,,,52,,39,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,404,Kenya,KEN,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,17,,,,17,,12,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,484,Mexico,MEX,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,32555,,,,32555,,24981,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,504,Morocco,MAR,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,220,,,,220,,163,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,528,Netherlands,NLD,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,4141,,,,4141,,11309,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,604,Peru,PER,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,531956,,,,531956,,465130,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,710,South Africa,ZAF,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,10,,,,10,,7,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,724,Spain,ESP,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,3360,,,,3360,,2496,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,764,Thailand,THA,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,112172,,,,112172,,511618,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,818,Egypt,EGY,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,900,,,,900,,1440,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,25211868,,,,25211868,,43072580,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,272718,,,,272718,,312337,,,0
H4,2012,2012,2012,6,1,1,Import,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,80462,,,,80462,,133127,,,0
